sample,order,type,batch,1-methylhistamine,2-Arachidonyl glycerol,2'-deoxyadenosine,3-deaazadenosine,3-IPA,3HK,5-Aminolevulinic Acid,Acetylcarnitine,Adenosine,Alanine,Anandamide,Arachidonic acid,Arginine,Asparagine,Aspartate,Betaine,Butyrylcarnitine,cAMP,Carnitine,Choline,Colchicine,Creatine,Cysteamine,Cysteine,Cytosine,DMGV,GlucosePos2,Glutamate,Glutamine,Histidine,Î±-keto-Î²-methylvaleric acid.1,Î±-keto-Î²-methylvaleric acid.2,Isoleucine_Leucine,Kynurenic acid,L-Homoserine,Methionine,Phenylalanine,Phosphocholine,Proline,Riboflavin,Serine,Serotonin,Spermine,Taurine,Thiamine,Threonine,Thymidine,TMNO,trans-HYP,Tyrosine,Uridine,Valine,Valine-d8
27,11,S,1,16050145,89441.828,3391.838,17265.8,30643.318,12550.874,65724.11,122637493.7,694560.6,6062429.4,35268.68,80216.46,12191893.74,892761.65,121156.65,115528953.1,51446.48,56844.64,120891400,1039687.39,326.3247,5001212.8,41604.102,8492.7232,253478.93,392603.378,13246269,2464907.96,577854.487,15930614.01,24998.82,206490.3,66523610,1220009.346,2892549.55,1764255.949,48233357.03,2247404.9,109458210,367378.938,477390.79,7625.521,6372202.38,3796699.13,658.9835,3286044.42,7279.051,73068613.3,3129835.2,9087914.32,838685.442,27968148.5,2879443
28,12,S,1,15121922,97256.549,3663.169,23674.59,17715.047,11662.996,45867.013,119120873.5,661904.9,3292770.4,44112.28,100986.39,16310638.13,618879.31,160254.16,102940421,31129.13,36283.71,113101900,1189776.26,701.4774,1441522.8,9274.96,8119.2002,323575.53,224058.388,12335123,2074926.4,579685.773,23664336.37,28292.45,213564.8,49285480.7,956138.126,1878323.23,1704899.456,45826975.52,2091930.8,94665904.8,120766.132,425310.97,8912.984,5861642.08,2967319.87,2358.0614,2245655.65,6401.012,20362399.6,866007.1,11225097.05,883622.082,20498013.2,2961684
Pool,13,QC,1,17247237,89111.606,2969.348,24895.93,80022.411,11704.049,40319.282,119792810.3,790669.3,3122201.9,45613.43,79785.86,13726436.84,656443.59,81483.55,105740508.9,33981.79,97181.35,111045400,895567.84,2126.6346,2344636.8,73875.634,7243.6266,465248.54,154904.826,12931989,1412314.88,544726.467,18379176.11,27665.08,187156.3,58503081.6,1138146.964,2161277.27,2162255.528,47355306.09,1768700.1,98580316.9,410465.315,221270.3,10293.472,5798391.65,2636356.09,939.1381,2584053.24,6820.348,47845715.4,1420571.1,10974395.38,1025744.178,24797639.1,2924457
24*,14,SR,1,17387997,60115.914,2190.552,18695.37,44430.911,8836.369,63544.48,115199236.2,757309.1,4170884,19654.14,74119.47,12459664.58,664280.79,97701.7,103640713.8,40610.03,31154.36,119331000,1014849.57,491.5766,1205001,36932.71,7600.2759,504683.07,277848.421,12855677,2146541.97,539192.357,15226672.51,23770.38,204407.6,59829248,420850.766,2179250.2,1825691.365,41128436.62,2056035.4,110376174.2,160473.276,230597.68,6781.587,4306898.29,798619.05,1168.9421,2549323.46,5234.895,27528996.1,716971.7,8819652.38,1237248.598,27043060.9,3016398
45,15,S,1,17786037,52624.473,2832.103,20124.05,29388.324,9323.023,39179.76,125882568.2,683352.5,4306347.9,39428.83,71644.15,24137404.13,527238.31,357074.55,106753497.8,31947.02,40283.56,124680900,1232331.86,378.0828,1173746.8,24094.346,6277.1863,307645.41,138545.022,12461239,5386306.32,376319.035,23319779.04,30331.36,196318.1,54399962.8,555022.29,2806337.93,2111710.397,47983038.68,2058511.6,101181771.7,126417.698,1804454.06,11323.008,5355208,1309755.46,974.6569,3330533.15,6488.971,26747970.1,712737.5,14636174.81,968933.378,22771706.5,3220171
46,16,S,1,19472334,65966.576,3061.788,23517.64,57148.42,13153.781,16718.454,128405669.1,669153.2,3700127.3,42239.6,78894.18,8176863.9,463919.48,194579.06,116827919.7,76767.43,47315.36,122434200,1600029.02,445.3985,3403395.7,121842.498,3033.555,147033.41,401164.467,12971853,3618255.05,458030.088,15606204.12,25632.32,213072,57456213.5,1692108.62,2186176.33,1935300.14,51349686.82,1899790,103894057.2,684111.364,362967.92,1638.399,5780274.68,8218490.34,1312.3378,2427339.89,5048.371,66944182,2102170.9,10432503.12,581855.872,26823459,3067944
47,17,S,1,19535716,98536.871,2304.856,23643.49,88245.579,9253.768,22201.044,118946669.9,559713.8,4112920.4,38185.28,87390.11,28446788.26,654901.14,157772.4,112752991.3,30821.65,38596.82,106234900,1188164.43,654.2288,4748873.9,49039.074,5095.48,412762.41,49521.743,12613711,2356958.57,710128.201,20787307.33,23636.64,240647,53560311.8,899713.192,2204410.42,1826307.384,44544013.82,1967957.6,97175512.7,140459.59,514243.8,15553.594,6788163.7,2991799.52,848.8988,2498791.8,6557.113,42551424.6,2808034.7,13843353.96,1100967.806,23570225,3175725
48,18,S,1,18268487,86187.876,3652.952,20827.65,32406.715,10115.195,43061.636,129654293.3,710100.4,4954754.6,31345.84,80020.76,13491648.06,620014.87,227527.58,102513208.9,45332.45,931082.78,127071300,1548550.06,484.4662,1395238,30878.388,4538.6833,380939.57,113821.476,12254181,2142144.97,534366.837,19716282.63,25806.21,176980.6,49197375,476036.088,2693584.15,2065751.593,45795326.29,1944224.6,111912004.6,611438.938,1186820.64,9645.492,5015730.8,1099585.59,635.7431,3127153.87,5667.773,30436215.9,759844.6,12277715.61,515892.94,22676428.3,3175934
49,19,S,1,18461611,126154.562,7674.414,34441.59,24469.371,17070.433,50944.022,125453216.6,559250.1,4049103.3,30300.8,119882.76,18182560.66,552184.5,117329.14,109553322.2,26632.64,41416.28,116687200,1197407.08,608.3375,955638.3,19554.29,6790.7826,251457.22,249217.522,13225343,2112859.39,646862.498,14897641.04,27365.75,192744.9,48601789.2,593547.388,3093280.69,1529968.975,46281538.44,1935582.8,97675669.9,374785.73,510724.76,9989.198,4930729.04,897487.2,739.8623,3506621.89,7169.64,89796906.6,503569.8,9274647.15,1145743.168,20350116.7,3117750
50,20,S,1,19085182,115072.008,3263.855,27635.65,48065.798,11351.748,64893.132,117554774.9,600568.7,4732410.7,40941.64,105320.21,21149651.2,798441.64,98596.78,102414479.6,38664.47,27893.49,115067100,974595.09,474.5273,4241643.6,22004.62,3275.9079,315432.02,80247.832,14263104,2341138.12,575212.218,16683223.93,31191.69,167335.5,48845706.6,733249.458,2328194.79,1745659.542,43155377.81,1943252.9,111606874.5,247259.072,579616.49,13315.655,5439786.27,2996258.02,1206.129,2606880.04,7318.499,83109278.5,2379090.8,11974166.19,953645.644,23289235.8,3117811
51,21,S,1,18883928,118875.139,4599.572,24970.39,39660.938,10660.05,60951.957,122603029.4,610832,5007903.7,55665.35,115403.44,11905821.91,518690.74,367695.29,115964311.5,54953.84,20701.71,115771300,1511957.01,730.0349,4413838.8,33868.368,5011.8214,77111,165722.419,13738568,4535116.27,495449.519,19570489.47,28430.6,187768,52232930.8,893065.61,2801022.15,1629706.286,44456578.87,1829133,108282951.3,124194.568,454694.48,8556.302,6259805.92,12107825.26,3353.5076,3204474.53,6252.715,37336465.9,2597967.5,12623034.78,846364.08,23130174.9,3040912
53,22,S,1,19276709,134916.611,3028.514,30653.73,93593.535,10477.702,59286.578,121042980.3,567139.6,5572034.4,44436.05,106210.92,25389192.24,748199.7,324915.67,102712702.1,35468.58,27049.96,123935200,1754712.22,592.4839,1461883.6,77683.522,4175.0873,227766.56,163187.265,13465870,5002489.99,461393.432,28295510.97,26711.88,238031.1,60271667.3,879828.726,3387938.81,2380618.875,52244583.26,1720062.4,118383020.1,283410.05,526203.93,13968.611,7197925.81,4016997.29,2290.4624,3969195.21,5888.379,82061243.4,745818.1,11258874.76,1097142.118,26702056.9,3029216
55,23,S,1,19426033,130630.79,4211.606,31204.03,29434.091,30501.415,64257.867,127982389.5,577447.3,6018041.9,32874.05,121981.38,14856438.98,768704.91,428108.14,108555100.7,67696.82,659310.46,124229000,2034889.38,617.724,2650645.4,21348.318,6027.9364,45964.08,343869.822,13085283,4299252.94,524570.948,22150958.74,23626.19,203017.9,52579775.9,721714.888,2599347.16,2313816.288,50993614.47,1745739.3,123304324.5,272929.224,539935.79,12408.767,10378621.49,17572699.69,1243.3143,3140053.31,8074.044,34740339.4,1589285,12588700.57,729875.21,19966630.2,3056537
Pool,24,QC,1,18858475,107575.004,3526.037,32608.47,88708.514,11961.363,36941.84,122413091,829181.3,3740001,60830.36,105322.4,15581884.4,702364.66,93523.85,96432970.9,40565.01,96636.23,119597700,1095608.66,2494.5903,2233341.7,87590.598,7500.0622,561204.56,180730.14,11758395,1588642.86,552715.546,20328874.86,29319.57,229075.3,61369306.7,1120095.99,2372359.33,2091355.758,49831963.37,1453648,111263807.8,447214.916,260673.24,6816.899,7221876.03,2820359.52,1556.5851,2822226.03,7363.794,62635708.3,1253749.4,12062555.13,1121086.77,27211702.7,2858169
56,25,S,1,19317664,111408.182,3020.652,26309.54,51199.087,10394.296,41561.161,129551974.4,731173.2,5965991.3,53002.66,111092.09,21759746.7,513695.01,510297.14,90531856.8,33074.78,65922.11,130037600,1511445.1,437.764,4586226.5,44826.794,6526.2193,98325.11,116394.703,11981126,4811933.91,435290.606,33529005.75,23120.73,275443.8,73398836.5,1119985.32,3150959.76,3215465.529,65327468.66,1544026.2,113794132.1,462886.802,467647.4,15487.656,7209372.21,12970160.57,1100.3055,3588354,5258.383,43508475.3,2567772.4,15701329.51,1019047.742,32790722.8,3078116
58,26,S,1,18168906,123654.057,4679.83,28899.74,45858.563,20716.703,42280.361,128268237.7,923479.2,5755720.8,66818.2,110210.83,2693564.07,567078.5,286326.97,110253289.5,55583.37,33339.13,119400100,1023043.68,638.0951,2146544,11264.311,11132.3034,10656.07,300967.362,11041216,2458362.13,511217.282,19119041.96,32917.61,217960.9,76788834.2,1789170.226,1825942.8,2751637.498,67627372.01,1235673.3,102022700,661646.144,317654.99,1360.273,6931408.84,18748153.61,1435.4464,2051934.23,5688.551,31970980.1,1172304.4,12602021.15,253623.516,26575128.2,2820142
59,27,S,1,20147815,99178.328,2704.2,28893.33,64289.016,9866.701,80100.5,127330323.3,648979.1,3938356.2,31801.38,92980.63,15849634.11,626850.38,350161.19,101182726,57170.63,30346.53,118676400,1464184.56,618.8596,3686600.9,78219.28,6107.0996,116429.47,100179.653,10939860,2663407.01,471406.112,22124471.15,25809.37,262682.2,57898170.6,992266.396,2598299.36,1889420.279,47686725.19,1446378.4,126430083.9,141216.396,470295.54,11330.496,7157698.92,8928788.28,1878.4589,3027554.07,5789.726,131152423,2215112.8,11523964.08,586621.052,29630775.8,3087053
60,28,S,1,18396027,128095.269,4694.204,17776.65,44302.618,12777.978,33699.444,121889328.2,823201.1,4153646.3,47076.64,93435.75,8411991.3,506121.26,208836.29,97811973,24248.44,25017.11,113204800,1658025.74,695.0676,2483860.8,14380.816,5690.1525,75923.32,158421.628,10740586,2979496.41,543145.965,15124169.49,28208.98,147243,83185475.7,629788.444,1811331.96,2494385.943,53477646.77,1426176.2,113667150.6,638736.717,412104.99,5877.132,6285735.79,8988962.34,2587.1507,2119324.84,5921.802,25277584.7,873928.8,10768536.36,690146.446,30582338.8,3001255
61,29,S,1,18156556,150753.008,3182.134,20844.26,60815.742,19705.894,29921.304,127225144.7,793808.8,4882041,64682.19,109392.29,6745432.32,562185.13,230520.24,108464995.5,37471.13,33410.11,126335800,1589106.91,505.7489,2622369.7,11879.746,5991.3993,30203.27,321167.416,10949723,2851637.15,439826.171,22330245.46,26766.34,214952.7,73818830.5,997441.272,2383780.52,2383600.162,56106942.29,1411290.5,105525133.7,553539.223,394662.15,3287.232,6063054.57,6700678.5,773.9828,2719951.51,5554.154,51058282.2,1493917.3,15991404.07,1318976.574,31033727.7,3075948
62,30,S,1,19641252,119225.245,8911.466,39588.39,31677.309,12536.146,25197.313,107540818.2,710540.2,4550044.9,119994.01,186032.87,8362352.55,707912.81,128659.55,96858477.5,64418.76,48183.09,97459680,1153883.75,546.9626,2134677.3,84883.258,5720.0619,450074.63,84253.033,12675361,2031195.07,646554.661,17653049.55,27283.6,161241.4,72659337.4,1794022.048,2155889.55,1855262.275,56337099.55,1310451,105623901.8,650619.461,441828.14,2935.703,7476276.73,4893697.97,1323.888,2524698.69,9743,59974801.2,1235871.6,9506449.28,1116838.736,26545597.4,3157398
63,31,S,1,19465974,174992.628,4011.858,37524.4,19894.024,8631.732,48952.437,124632457.7,846595.9,6180054.7,85976.91,153534.57,8241518.18,666656.38,247107.01,98990462.8,40101.94,53520.41,116397500,1362408.38,625.7976,1619742.3,15779.379,6304.1461,68065.89,240747.17,10777514,3543910.56,500883.057,27093188.1,23242.65,218714.9,80441679.7,1156638.938,2735125.91,2737903.224,54224142.3,1304286.3,122451146.3,282179.5,402478.24,3611.953,5310652.93,4609737.82,1453.6361,3314392.05,7488.756,27578656,911748.1,17410537.39,591846.96,34451022.7,3092374
64,32,S,1,19634691,109578.422,3472.508,26442.2,45871.159,10319.249,39541.065,122883421.1,769903.9,4283631.4,59310.62,107008.15,6187656.98,575204.46,165958.16,93453570.7,31638.19,28716.75,117829100,1159280.23,550.3076,4465820.6,49976.676,5077.6581,58115.25,96453.861,11125083,3079854.76,514711.515,22468764.61,24144.45,180668.5,62939716.2,813861.84,2020964.22,1629746.983,43798885.65,1191576.8,105371666.3,301968.113,418710.07,1573.778,5390918.39,6849116.98,344.4574,2341572.22,6089.425,126135466.8,2623508.6,11697772.67,1245953.366,28058551.9,3019324
65,33,S,1,18857684,184001.258,3920.356,28617.94,26405.823,10846.386,31166.775,101932303.2,555197.8,2987211.9,65832.7,173251.41,5109019,413628.82,144630.89,107845746.7,43249.19,326318,103887100,1059603.56,403.8392,3540401.2,59476.252,6167.1212,260985.42,379129.361,11734116,2265116.93,325526.062,7448121.96,21085.41,127068.9,42419415.5,1101462.854,1374425.39,951242.4195,34819737.22,1334978.5,109347621.7,225988.997,364631.48,2089.799,4067416.54,7335818.61,1404.0357,1627661.22,7675.522,41782842.5,2054025.8,9809074,1282486.012,18556170.6,3092666
Pool,34,QC,1,19940338,118187.513,4715.01,34883.43,96017.728,10836.54,35766.154,124132796,693119.7,3861560.4,60747.35,109230.27,15441343.81,719382.34,56740.31,91536351.4,42451.57,92888.68,121224400,1146558.81,1653.0882,2130472.3,86562.586,8268.9616,457172.95,208513.734,12113224,1520053.16,584068.169,20986341.93,21767.43,203643,63701033.9,1202460.486,2497593.01,2169193.955,49731679.69,1128531.9,116550892.1,433285.519,266826.49,8304.072,6865240.52,2940496,1331.282,3059064.45,6843.414,63781546.8,1189721.7,11982446.67,1111927.006,27607176.9,2976243
66,35,S,1,17166823,132454.412,2819.886,25100.54,83882.386,11997.3,21030.92,127521744.8,661237.1,2977969.3,66785.2,119915.51,10388216.75,666114.72,177095.61,96179549.9,46242.93,42003.09,120751500,1797764.62,457.3805,2074626.3,44741.554,7226.5235,116232.96,84825.852,11954028,2508719.52,580224.917,22412509.57,31608.76,132262.4,84061929.4,777170.782,2569110.08,2020617.511,54967307.34,1192455.5,126025741.8,1168172.948,472169.13,2716.996,6193190.73,5427998.08,1461.761,2978496.03,5940.893,56915552.2,1182332.5,13889918.07,806873.762,35319412.8,3150206
67,36,S,1,19566648,102460.028,3425.143,28146.08,34089.249,10704.812,48341.141,122354112.1,688440.4,4136583.6,36561.17,108470.97,18421700.06,581008.36,173173.64,95281956.5,44353.39,28081.71,124948700,1362934.2,604.5584,3215172.4,98787.698,4931.3228,193965.41,298724.646,11050855,2641271.4,546359.245,20297269.58,24685.61,170813.3,70025740.9,1064161.164,2057484.58,1597462.026,45889497.66,1480769.4,111325891.6,438633.436,516931.63,10719.555,7023577.72,7073932.26,1254.4261,2421140.46,6624.749,20332364.7,1945569,11069064.74,1247808.758,30790429.2,3258017
68,37,S,1,18273933,56315.989,5996.886,21807.53,39179.899,14318.833,56359.677,107302933.7,462682.1,3775185.6,43080.04,74978.94,18162230.32,661046.15,102753.49,83092262.5,33451.35,31171.52,111533300,1028031.87,475.1205,3545647.5,67687.482,4247.2346,225929.38,90538.189,11445282,3938144.77,480943.101,12900760.69,26142.68,100428,47608814.5,642687.786,2257881.67,1494677.04,37249954.44,1340037.3,115000318.9,239477.084,429409.65,12005.448,6267949.41,3234634.89,1376.399,2623170.51,6094.778,110167862.5,1944986.2,10492095.41,890085.616,21846589.8,3021563
69,38,S,1,20083999,102314.633,6354.57,26428.16,41058.707,14866.437,20623.345,120593591.8,466579.5,4709539.2,52479.67,115691.5,21404100.22,747188.48,112482.99,102569438.7,51881.81,24160.71,105674900,1232233.15,499.0323,3890649.9,17030.95,7398.9125,490995.91,210786.167,10812306,3815502.75,585383.693,19749894.41,25722.79,241839.6,78205317.7,1275909.382,3176357.65,2095058.562,44721078.44,1244695.1,120490908.4,44458.442,408366.49,8991.617,9378562.96,3232651.08,846.5939,3688295.78,6977.714,69303119.3,2416010.9,8808565.35,1106669.132,29526105.9,3054511
70,39,S,1,19797329,101544.252,4514.87,24062.17,9061.735,10427.052,63790.926,103335077.8,442435.4,4429423.5,22498.94,94646.42,18290149.77,602679.46,114373.64,89302161.9,25020.98,26791.29,125281800,964816.21,854.2905,6563551.1,12079.468,4531.0537,181723.6,155463.359,11059233,2953844.25,480847.02,15642852.39,22119.09,187502.6,46716623.4,593060.064,2121810.12,1405266.465,42692324.26,1183413.2,105589008.8,338790.39,415984.3,9958.404,4422431.58,2620255.75,1007.7852,2582558.29,6479.119,23329253.1,3721576.8,9108202.24,874201.476,23093642,3120368
62*,40,SR,1,19720582,111661.962,6343.524,35409.34,33629.188,10017.349,26337.043,111393081,625457.3,4348478.2,101232.27,187021.62,7934018.5,653686.6,111307.01,89386033.3,63885.1,38745.4,93184000,1062942.37,669.8528,2529989.3,82349.466,4924.3429,355061.36,88841.297,12684607,2009330.71,608018.486,17458937.86,27311.09,183040.2,68737553.2,808276.842,1970634.63,1612105.068,54488057.43,1117691.3,106785653.2,554957.762,269608.68,3930.399,7471927.15,4684820.8,974.2101,2270394.65,7854.042,57589678.3,1532734.6,8826649.97,887564.932,25787125.5,2982752
71,41,S,1,19406034,130160.706,4352.404,30634.36,47059.791,10833.516,27951.929,125551745.5,437269.7,4222588.1,42390.03,154441.54,15967442.43,580024.18,108365.95,92229807.4,42641.1,36378.99,124520000,1347757.49,708.7116,5329228.9,64887.424,7550.2311,355197.72,55694.449,11711134,3105181.65,508159.995,15643369.95,25306.58,212236.4,61150072.8,1146062.484,2576465.48,1629395.267,47688703.68,1234185.4,118201382.1,189494.946,398001.38,11801.541,7286647.63,2838410.74,602.4419,3041117.15,8662.491,91476351.5,3009485.5,9819162.41,1054974.158,29189063.2,3301765
72,42,S,1,19317530,84097.191,4481.092,21818.25,36145.567,9340.238,55418.025,127688900.9,432410.8,3633084.4,41164.7,101328.1,28388247.59,691352.69,79299.8,99602609.9,39238.69,27796.47,126586100,989510.66,728.765,5722445.5,106101.044,4025.9068,287934.5,234710.832,11960652,2542137.56,506011.244,15514235.38,25789.81,248773.3,60971514.4,950343.766,2149076.29,1612380.517,37982014.53,1187746.4,114215813.2,158701.65,427826.33,12599.237,7605727.1,2560387.91,2154.1399,2615615.3,8128.582,33399358.6,3277925.2,8865455.48,1156363.882,26795407.4,3167318
74,43,S,1,18621611,117776.857,2549.132,26944.12,30156.776,11617.105,77246.8,125998646.6,571849.4,5328953.5,31310.88,83617.69,14097464.84,762229.89,64772.16,85336650.4,28927.48,20283.01,128042300,1197299.78,598.6492,5415450.8,20509.794,8996.8374,496523.41,175715.505,10917429,1534798.4,557010.116,16118189.68,23373.4,204949.1,63187044.1,880139.08,2121064.12,1942355.712,46806363.22,1177830.9,119902837,77450.932,462722.85,11439.564,7872932.54,3713877.78,1297.053,2640588.51,6582.637,25839377.9,3149865.5,10826360.44,1165936.522,29412378.4,3076642
75,44,S,1,19605731,160597.353,5802.809,30282.92,57132.95,10860.161,35366.123,103997977.2,499470.3,4185060.8,58264.19,136511.99,15003528.81,807780.65,52932.6,93021492.7,31636.7,49186.53,122502000,941077.41,527.9926,4871884.9,91488.334,5301.0791,387076.35,167710.979,11122059,1216057.12,590989.687,16993665.62,26560.82,152671.1,55552733.7,996855.546,3715861.93,1925352.24,41966140.58,1212004.3,130198418.3,237470.46,400890.43,10682.21,4882309.03,2437266.57,4057.9512,4600287.59,8889.96,68057995.2,2967576.1,8873186.6,572407.87,27228364.5,3220592
Pool,45,QC,1,18366850,113741.173,3315.376,31855.26,94425.284,9942.217,42322.16,126640940.1,716484.5,3941257,47707.07,109801.84,16452618.4,745967.59,78636.78,97707777.9,32306.76,88350.78,120229100,1148247.54,2226.7591,2246500.6,89135.666,10686.3301,525543.51,198021.877,13375093,1524554.95,559086.242,20535587.88,26972.73,201708.7,63393535.6,1163174.928,2405141.21,2081941.838,46648156.18,1210228.9,114783693.2,443749.258,251186.91,8513.761,7063464.12,3083680.17,1793.8517,2840666.31,7093.753,61582413.4,1300478.4,11723637.91,1069138.53,29026600.5,3022800
